"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,61639,"10025","NY","New York","New York","New York",0,1065700,-0.0193245605963007,-0.014791531848017,0.0790805994329688,0.074312731187588,0.0368531547903146,"2016-03","2016-Q1",1096800,-0.0283552151714077,"2015-08"
2016-05-31,84654,"60657","IL","Chicago","Cook","Chicago",1,311400,-0.000321027287319422,0.00516462233699161,0.0087463556851312,0.0284854762650355,-0.00284514047388285,"2007-09","2007-Q3",324300,-0.0397779833487512,"2005-06"
2016-05-31,61637,"10023","NY","New York","New York","New York",2,1060600,-0.00590495829037398,-0.0413088673958239,0.0298087192931353,0.0455114334328282,0.0246097686443141,"2015-09","2015-Q3",1129300,-0.0608341450456035,"2015-07"
2016-05-31,84616,"60614","IL","Chicago","Cook","Chicago",3,381500,0.00447604002106372,0.0138187616263619,0.0671328671328671,0.0276285214082319,-0.000678977852880513,"2007-09","2007-Q3",398100,-0.0416980658126099,"2005-12"
2016-05-31,93144,"79936","TX","El Paso","El Paso","El Paso",4,111100,0.000900900900900901,0.00816696914700544,-0.00448028673835125,-0.00548900019947363,0.00301985441828889,"2007-12","2007-Q4",131000,-0.151908396946565,"2006-07"
2016-05-31,61616,"10002","NY","New York","New York","New York",5,920600,-0.033490813648294,-0.0227176220806794,0.183290488431877,0.115791120288711,0.0532825623363178,"2016-03","2016-Q1",962400,-0.0434330839567747,"2015-11"
2016-05-31,91733,"77084","TX","Houston","Harris","Houston",6,152300,0.00994694960212202,0.0248990578734859,0.0832147937411095,0.0689934164442791,0.020031882618669,"2016-05","2016-Q2",152300,0,"2016-05"
2016-05-31,84640,"60640","IL","Chicago","Cook","Chicago",7,194800,0.00154241645244216,0.00464156781846313,0.00723888314374354,0.01290818614328,-0.0178735182627144,"2007-02","2007-Q1",237600,-0.18013468013468,"2002-10"
2016-05-31,97564,"94109","CA","San Francisco","San Francisco","San Francisco",8,1110400,-0.00573065902578797,-0.0111318906403063,0.0412603150787697,0.10791244947828,0.0349452474450584,"2016-02","2016-Q1",1122900,-0.0111318906403063,"2016-01"
2016-05-31,62037,"11226","NY","New York","Kings","New York",9,578700,0.0195560253699789,0.0675152185943553,0.129832096837173,0.0990395470887597,0.0397738840243418,"2016-05","2016-Q2",578700,0,"2016-05"
2016-05-31,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",10,289000,0.00382077110107676,0.0151036178433439,0.0897435897435897,0.0887625572101896,0.0400735627324058,"2016-05","2016-Q2",289000,0,"2016-05"
2016-05-31,91940,"77449","TX","Houston","Harris","Cypress",11,154100,0.0078482668410726,0.016490765171504,0.0852112676056338,0.0740803604204185,0.0182540989796025,"2016-05","2016-Q2",154100,0,"2016-05"
2016-05-31,71831,"32162","FL","The Villages","Sumter","The Villages",12,244900,-0.00163065633917652,-0.00528025995125914,-0.00608766233766234,0.046624350607503,0.00379377580360374,"2007-01","2007-Q1",253700,-0.0346866377611352,"2006-09"
2016-05-31,62045,"11235","NY","New York","Kings","New York",13,473700,0.00937566588536118,0.0331515812431843,0.104453252506412,0.0352818867137399,0.0234217934390282,"2016-05","2016-Q2",473700,0,"2016-05"
2016-05-31,84646,"60647","IL","Chicago","Cook","Chicago",14,295300,0.00203596878181201,0.00819392284055992,0.0442008486562942,0.043562829233766,-0.00478204337082599,"2006-08","2006-Q3",310000,-0.0474193548387097,"2005-11"
2016-05-31,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",15,524900,0.00536295728787589,0.0200155460551885,0.07782340862423,0.0794796270889,-0.00233215922872987,"2006-11","2006-Q4",541500,-0.0306555863342567,"2005-11"
2016-05-31,74242,"37211","TN","Nashville","Davidson","Nashville",16,195800,0.00668380462724936,0.0256678889470927,0.186666666666667,0.0740349751292162,0.0334516653475956,"2016-05","2016-Q2",195800,0,"2016-05"
2016-05-31,74101,"37013","TN","Nashville","Davidson","Nashville",17,163900,0.00428921568627451,0.0167493796526055,0.128011011699931,0.0525033002573163,0.0130284589641447,"2016-05","2016-Q2",163900,0,"2016-05"
2016-05-31,84620,"60618","IL","Chicago","Cook","Chicago",18,332500,0.00180777342573064,0.00941105039465695,0.0562261753494282,0.0488931042719418,-0.00423069467746817,"2006-11","2006-Q4",351100,-0.0529763600113928,"2005-12"
2016-05-31,61703,"10128","NY","New York","New York","New York",19,1047200,-0.00513015390461714,0.0181818181818182,0.174122659490974,0.0510289749372699,,"2016-04","2016-Q2",1052600,-0.00513015390461714,"2016-03"
2016-05-31,61625,"10011","NY","New York","New York","New York",20,1512900,-0.0207133147776555,-0.0352633592653998,0.139918625678119,0.128667540032802,0.0642577427170092,"2015-12","2015-Q4",1593200,-0.0504017072558373,"2015-09"
2016-05-31,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",21,164100,0.00551470588235294,0.0117139334155364,0.04923273657289,0.0375169150933086,0.00637255846700069,"2016-05","2016-Q2",164100,0,"2016-05"
2016-05-31,93123,"79912","TX","El Paso","El Paso","El Paso",22,168000,-0.00237529691211401,-0.0029673590504451,0.00840336134453781,-0.00306681880503989,-0.000356443075516966,"2007-12","2007-Q4",189600,-0.113924050632911,"2006-05"
2016-05-31,71067,"30349","GA","Atlanta","Clayton","Riverdale",23,102700,0.0118226600985222,0.0426395939086294,0.164399092970522,0.0964758924399751,-0.0317457291648088,"2006-04","2006-Q2",142100,-0.277269528501056,"2000-02"
2016-05-31,96027,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",24,1233600,0.000973709834469328,0.00891469698208882,0.0594297492270697,0.100998944279084,0.0224492050683709,"2016-05","2016-Q2",1233600,0,"2016-05"
2016-05-31,97771,"94565","CA","San Francisco","Contra Costa","Pittsburg",25,344500,0.00642711072158925,0.0210432720806165,0.0967844635466412,0.149701294553716,-0.0297990496340835,"2006-07","2006-Q3",468100,-0.264046143986328,"2004-06"
2016-05-31,61617,"10003","NY","New York","New York","New York",26,1233400,-0.0405289770517308,-0.0856931060044477,-0.0239772097808024,0.0873342897411034,0.0445956620827437,"2016-02","2016-Q1",1349000,-0.0856931060044477,"2015-05"
2016-05-31,90654,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",27,168600,0.00536672629695885,0.0205811138014528,0.107025607353907,0.0609917495283778,0.0187625069882364,"2016-05","2016-Q2",168600,0,"2016-05"
2016-05-31,84615,"60613","IL","Chicago","Cook","Chicago",28,197000,-0.00202634245187437,0.00510204081632653,-0.00202634245187437,0.0160771980909746,-0.0172323282432036,"2008-01","2008-Q1",241900,-0.185613890037205,"2001-11"
2016-05-31,66843,"21234","MD","Baltimore","Baltimore","Parkville",29,198600,0.00151285930408472,0.00353713996968166,0.0242392986075297,0.0116771278781285,-0.00904941522039993,"2007-07","2007-Q3",225900,-0.120849933598938,"2005-10"
2016-05-31,91685,"77036","TX","Houston","Harris","Houston",30,101800,-0.0220941402497598,0.00394477317554241,0.00792079207920792,0.0714267933709243,0.0172461363520553,"2015-09","2015-Q3",105800,-0.0378071833648393,"2015-08"
2016-05-31,66133,"20009","DC","Washington","District of Columbia","Washington",31,529100,0.00551121246674268,0.00934757726058756,0.0313840155945419,0.0463226994642985,0.0154481620856866,"2016-05","2016-Q2",529100,0,"2016-05"
2016-05-31,84630,"60629","IL","Chicago","Cook","Chicago",32,146600,0.00894700619408121,0.0323943661971831,0.0755685986793837,0.0340521859353631,-0.0444526794155637,"2006-08","2006-Q3",233500,-0.372162740899358,"2002-10"
2016-05-31,62020,"11209","NY","New York","Kings","New York",33,565300,0.00748529673854928,0.00676758682101514,0.0710496400151573,0.0358140701406848,0.0089908905635625,"2004-08","2004-Q3",643500,-0.121522921522922,
2016-05-31,84627,"60625","IL","Chicago","Cook","Chicago",34,270300,0.00371333085777943,0.0180790960451977,0.0786113328012769,0.0271638222386592,-0.0107329842629189,"2007-10","2007-Q4",310300,-0.128907508862391,"2004-10"
2016-05-31,70829,"30044","GA","Atlanta","Gwinnett","Lawrenceville",35,154400,0.00586319218241042,0.0259136212624585,0.0942593905031892,0.0805806906209026,-0.00485485601980373,"2006-12","2006-Q4",164700,-0.0625379477838494,"2004-07"
2016-05-31,62040,"11230","NY","New York","Kings","New York",36,701200,0.00415294286123443,-0.00355265027710672,0.0310248492868696,0.058099524948289,0.0132859060393764,"2015-12","2015-Q4",715000,-0.0193006993006993,"2015-09"
2016-05-31,61803,"10463","NY","New York","Bronx","New York",37,407500,0.00369458128078818,0.0190047511877969,0.0809018567639257,0.00670965927520784,-0.0169149725066067,"2008-11","2008-Q4",554600,-0.265236206274793,"2005-10"
